ID,lastName,firstName,position,birthYear,debutYear
AbduKa00,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa01,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa02,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa03,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa04,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa05,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa06,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa07,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa08,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa09,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa10,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa11,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa12,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa13,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa14,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa15,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa16,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa17,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa18,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa19,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa20,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa21,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa22,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa23,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa24,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa25,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa26,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa27,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa28,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa29,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa30,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa31,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa32,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa33,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa34,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa35,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa36,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa37,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa38,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa39,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa40,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa41,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa42,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa43,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa44,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa45,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa46,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa47,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa48,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa49,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa50,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa51,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa52,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa53,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa54,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa55,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa56,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa57,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa58,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa59,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa60,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa61,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa62,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa63,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa64,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa65,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa66,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa67,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa68,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa69,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa70,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa71,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa72,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa73,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa74,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa75,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa76,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa77,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa78,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa79,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa80,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa81,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa82,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa83,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa84,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa85,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa86,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa87,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa88,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa89,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa90,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa91,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa92,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa93,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa94,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa95,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa96,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa97,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa98,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa99,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa100,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa101,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa102,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa103,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa104,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa105,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa106,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa107,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa108,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa109,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa110,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa111,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa112,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa113,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa114,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa115,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa116,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa117,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa118,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa119,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa120,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa121,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa122,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa123,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa124,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa125,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa126,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa127,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa128,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa129,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa130,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa131,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa132,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa133,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa134,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa135,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa136,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa137,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa138,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa139,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa140,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa141,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa142,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa143,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa144,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa145,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa146,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa147,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa148,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa149,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa150,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa151,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa152,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa153,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa154,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa155,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa156,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa157,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa158,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa159,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa160,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa161,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa162,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa163,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa164,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa165,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa166,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa167,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa168,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa169,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa170,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa171,Abdul-Jabbar,Karim,rb,1974,1996
AbduKa172,Abdul-Jabbar,Karim,rb,1974,1996
